yORF,Phase_1_0,Phase_1_1,Phase_1_2,Phase_1_3,Phase_1_4,Phase_1_5,Phase_1_6,Phase_1_7,Phase_1_8,Phase_1_9,Phase_1_10,Phase_1_11,Phase_1_12,Phase_1_13,Phase_1_14,Phase_2_0,Phase_2_1,Phase_2_2,Phase_2_3,Phase_2_4,Phase_2_5,Phase_2_6,Phase_2_7,Phase_2_8,Phase_2_9,Phase_2_10,Phase_2_11,Phase_2_12,Phase_2_13,Phase_2_14,Phase_3_0,Phase_3_1,Phase_3_2,Phase_3_3,Phase_3_4,Phase_3_5,Phase_3_6,Phase_3_7,Phase_3_8,Phase_3_9,Phase_3_10,Phase_3_11,Phase_3_12,Phase_3_13,Phase_3_14,Phase_4_0,Phase_4_1,Phase_4_2,Phase_4_3,Phase_4_4,Phase_4_5,Phase_4_6,Phase_4_7,Phase_4_8,Phase_4_9,Phase_4_10,Phase_4_11,Phase_4_12,Phase_4_13,Phase_4_14,Phase_5_0,Phase_5_1,Phase_5_2,Phase_5_3,Phase_5_4,Phase_5_5,Phase_5_6,Phase_5_7,Phase_5_8,Phase_5_9,Phase_5_10,Phase_5_11,Phase_5_12,Phase_5_13,Phase_5_14
YAL005C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0
YAL007C,0.0,0.0,0.0,0.42000000000000004,0.0,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.2,0.0,0.22,0.0,0.0,0.0,0.42000000000000004,0.2,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.42000000000000004,0.1,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.22,0.0,0.0,0.0,0.42000000000000004,0.2,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.42000000000000004,0.0,0.2,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.22
YAL008W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL009W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL011W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.7,0.0
YAL012W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
YAL014C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL015C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAL016W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8999999999999999,0.0,0.0
YAL021C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0
YAL023C,0.0,0.0,0.0,0.7909090909090901,0.0,0.012121212121212121,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.03636363636363636,0.12424242424242424,0.024242424242424242,0.0,0.0,0.0,0.7909090909090901,0.0,0.012121212121212121,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.03636363636363636,0.12424242424242424,0.024242424242424242,0.0,0.0,0.0,0.8030303030303022,0.0,0.012121212121212121,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.03636363636363636,0.11212121212121212,0.024242424242424242,0.0,0.0,0.0,0.7909090909090901,0.0,0.012121212121212121,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.03636363636363636,0.12424242424242424,0.024242424242424242,0.0,0.0,0.0,0.7909090909090901,0.0,0.012121212121212121,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.03636363636363636,0.12424242424242424,0.024242424242424242
