yORF,gene name,GFP tagged,GFP visualized?,TAP visualized?,abundance,error,localization summary
YAL001C,TFC3,tagged,visualized,TAP visualized,125,,"cytoplasm,nucleus"
YAL002W,VPS8,tagged,visualized,TAP visualized,736,,endosome
YAL005C,SSA1,tagged,visualized,TAP visualized,269000,,cytoplasm
YAL007C,ERP2,tagged,visualized,TAP visualized,26300,,ER
YAL008W,FUN14,tagged,visualized,TAP visualized,1920,,mitochondrion
YAL009W,SPO7,tagged,visualized,TAP visualized,861,,nucleus
YAL010C,MDM10,tagged,visualized,TAP visualized,768,,mitochondrion
YAL011W,SWC1,tagged,visualized,TAP visualized,1380,,nucleus
YAL012W,CYS3,tagged,visualized,TAP visualized,38300,,cytoplasm
YAL014C,SYN8,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YAL015C,NTG1,tagged,visualized,TAP visualized,technical problem,,"cytoplasm,nucleus"
YAL016W,TPD3,tagged,visualized,TAP visualized,16900,,"cytoplasm,nucleus"
YAL017W,PSK1,tagged,visualized,TAP visualized,967,,cytoplasm
YAL019W,FUN30,tagged,visualized,TAP visualized,6800,,nucleus
YAL021C,CCR4,tagged,visualized,TAP visualized,2780,,cytoplasm
YAL023C,PMT2,tagged,visualized,TAP visualized,6510,,ER
YAL024C,LTE1,tagged,visualized,TAP visualized,304,,cytoplasm
YAL026C,DRS2,tagged,visualized,TAP visualized,606,,"early Golgi,late Golgi"
YAL027W,,tagged,visualized,TAP visualized,1170,,nucleus
YAL029C,MYO4,tagged,visualized,TAP visualized,2210,,"ambiguous,bud neck,cytoplasm,cell periphery,bud"
YAL031C,FUN21,tagged,visualized,TAP visualized,227,,cytoplasm
YAL032C,PRP45,tagged,visualized,TAP visualized,1670,201.0,nucleus
YAL033W,POP5,tagged,visualized,TAP visualized,2230,,"cytoplasm,nucleus"
YAL034W-A,MTW1,tagged,visualized,TAP visualized,2610,,spindle pole
YAL035W,FUN12,tagged,visualized,TAP visualized,13400,,cytoplasm
YAL036C,FUN11,tagged,visualized,TAP visualized,11700,,cytoplasm
YAL038W,CDC19,tagged,visualized,TAP visualized,291000,24100.0,cytoplasm
YAL039C,CYC3,tagged,visualized,TAP visualized,3870,,mitochondrion
YAL041W,CDC24,tagged,visualized,TAP visualized,1010,,"cytoplasm,nucleus"
YAL043C,PTA1,tagged,visualized,TAP visualized,3730,,nucleus
YAL044C,GCV3,tagged,visualized,TAP visualized,3510,,mitochondrion
YAL047C,SPC72,tagged,visualized,TAP visualized,639,,spindle pole
YAL049C,,tagged,visualized,TAP visualized,1800,,cytoplasm
YAL053W,,tagged,visualized,TAP visualized,414,,"ambiguous,bud neck,cell periphery,punctate composite,late Golgi,bud"
YAL054C,ACS1,tagged,visualized,TAP visualized,2890,,"cytoplasm,nucleus"
YAL055W,PEX22,tagged,visualized,TAP visualized,259,,punctate composite
YAL056W,GPB2,tagged,visualized,TAP visualized,low signal,,"cytoplasm,mitochondrion"
YAL058W,CNE1,tagged,visualized,TAP visualized,4760,,ER
YAL059W,ECM1,tagged,visualized,TAP visualized,2840,,nucleus
YAL060W,BDH1,tagged,visualized,TAP visualized,8730,,cytoplasm
YAL061W,,tagged,visualized,TAP visualized,3090,,"cytoplasm,nucleus"
YAR002C-A,ERP1,tagged,visualized,TAP visualized,20700,,vacuolar membrane
YAR002W,NUP60,tagged,visualized,TAP visualized,4590,,nuclear periphery
YAR003W,SWD1,tagged,visualized,TAP visualized,907,,nucleus
YAR007C,RFA1,tagged,visualized,TAP visualized,4100,486.0,nucleus
YAR009C,,tagged,visualized,TAP visualized,2220,,punctate composite
YAR014C,BUD14,tagged,visualized,TAP visualized,538,,"cytoplasm,nucleus"
YAR015W,ADE1,tagged,visualized,TAP visualized,4280,,"cytoplasm,nucleus"
YAR019C,CDC15,tagged,visualized,TAP visualized,238,,"ambiguous,spindle pole"
YAR027W,UIP3,tagged,visualized,TAP visualized,1690,,ambiguous
YAR028W,,tagged,visualized,TAP visualized,1840,,ambiguous
YAR044W,OSH1,tagged,visualized,TAP visualized,846,,punctate composite
YAR071W,PHO11,tagged,visualized,TAP visualized,1460,,vacuole
YBL001C,ECM15,tagged,visualized,TAP visualized,1900,,"cytoplasm,nucleus"
YBL002W,HTB2,tagged,visualized,TAP visualized,443000,,nucleus
YBL003C,HTA2,tagged,visualized,TAP visualized,32100,,nucleus
YBL004W,UTP20,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleolus"
YBL005W,PDR3,tagged,visualized,TAP visualized,166,,"cytoplasm,nucleus"
YBL007C,SLA1,tagged,visualized,TAP visualized,952,,"cytoplasm,actin"
YBL008W,HIR1,tagged,visualized,TAP visualized,846,,"cytoplasm,nucleus"
YBL010C,,tagged,visualized,TAP visualized,1320,,late Golgi
YBL011W,SCT1,tagged,visualized,TAP visualized,1050,,ER
YBL013W,FMT1,tagged,visualized,TAP visualized,1070,,mitochondrion
YBL014C,RRN6,tagged,visualized,TAP visualized,237,36.3,"cytoplasm,nucleolus"
YBL015W,ACH1,tagged,visualized,TAP visualized,4890,,mitochondrion
YBL016W,FUS3,tagged,visualized,TAP visualized,8480,,"cytoplasm,nucleus"
YBL017C,PEP1,tagged,visualized,TAP visualized,7210,,"punctate composite,endosome"
YBL018C,POP8,tagged,visualized,TAP visualized,4870,,nucleus
YBL019W,APN2,tagged,visualized,TAP visualized,414,,"cytoplasm,nucleus"
YBL021C,HAP3,tagged,visualized,TAP visualized,2510,,"cytoplasm,nucleus"
YBL022C,PIM1,tagged,visualized,TAP visualized,14500,,mitochondrion
YBL023C,MCM2,tagged,visualized,TAP visualized,1690,261.0,"cytoplasm,nucleus"
YBL024W,NCL1,tagged,visualized,TAP visualized,16100,,nucleus
YBL025W,RRN10,tagged,visualized,TAP visualized,low signal,,nucleolus
YBL026W,LSM2,tagged,visualized,TAP visualized,2210,,"cytoplasm,nucleus"
YBL027W,RPL19B,tagged,visualized,TAP visualized,225000,,cytoplasm
YBL028C,,tagged,visualized,TAP visualized,6210,,"nucleolus,nucleus"
YBL029C-A,,tagged,visualized,TAP visualized,996,,cell periphery
YBL029W,,tagged,visualized,TAP visualized,low signal,,"cytoplasm,nucleus"
YBL031W,SHE1,tagged,visualized,TAP visualized,264,,microtubule
YBL032W,HEK2,tagged,visualized,TAP visualized,15600,,cytoplasm
YBL033C,RIB1,tagged,visualized,TAP visualized,9520,,"cytoplasm,nucleus"
YBL034C,STU1,tagged,visualized,TAP visualized,521,,"ambiguous,spindle pole"
YBL035C,POL12,tagged,visualized,TAP visualized,11200,1700.0,nucleus
YBL036C,,tagged,visualized,TAP visualized,4890,,"cytoplasm,nucleus"
YBL037W,APL3,tagged,visualized,TAP visualized,1590,,"bud neck,cell periphery"
YBL038W,MRPL16,tagged,visualized,TAP visualized,2880,,mitochondrion
YBL039C,URA7,tagged,visualized,TAP visualized,57600,,cytoplasm
YBL040C,ERD2,tagged,visualized,TAP visualized,low signal,,ER
YBL042C,FUI1,tagged,visualized,TAP visualized,low signal,,"cell periphery,bud"
YBL045C,COR1,tagged,visualized,TAP visualized,19300,,mitochondrion
YBL046W,,tagged,visualized,TAP visualized,1010,,nucleus
YBL047C,EDE1,tagged,visualized,TAP visualized,1380,,punctate composite
YBL051C,PIN4,tagged,visualized,TAP visualized,4630,,cytoplasm
YBL052C,SAS3,tagged,visualized,TAP visualized,low signal,,nucleus
YBL054W,,tagged,visualized,TAP visualized,830,,"cytoplasm,nucleus"
YBL055C,,tagged,visualized,TAP visualized,1460,,cytoplasm
YBL056W,PTC3,tagged,visualized,TAP visualized,19700,,"cytoplasm,nucleus"
YBL057C,PTH2,tagged,visualized,TAP visualized,2190,,mitochondrion
YBL058W,SHP1,tagged,visualized,TAP visualized,3200,,"cytoplasm,nucleus"
YBL059C-A,,tagged,visualized,TAP visualized,279,,"cytoplasm,nucleus"
YBL059W,,tagged,visualized,TAP visualized,623,,mitochondrion
YBL060W,,tagged,visualized,TAP visualized,low signal,,"bud neck,cytoplasm"
YBL061C,SKT5,tagged,visualized,TAP visualized,2580,,"bud neck,cytoplasm,nucleus"
YBL063W,KIP1,tagged,visualized,TAP visualized,56.9,,microtubule
YBL064C,PRX1,tagged,visualized,TAP visualized,4510,,mitochondrion
YBL067C,UBP13,tagged,visualized,TAP visualized,125,,ambiguous
YBL068W,PRS4,tagged,visualized,TAP visualized,5280,,cytoplasm
YBL069W,AST1,tagged,visualized,not TAP visualized,not visualized,,"cytoplasm,nucleus"
YBL071W-A,KTI11,tagged,visualized,TAP visualized,8400,,"cytoplasm,nucleus"
YBL072C,RPS8A,tagged,visualized,TAP visualized,15900,,cytoplasm
YBL074C,AAR2,tagged,visualized,TAP visualized,7330,500.0,"cytoplasm,nucleus"
YBL075C,SSA3,tagged,visualized,TAP visualized,6440,,cytoplasm
YBL076C,ILS1,tagged,visualized,TAP visualized,23300,,cytoplasm
YBL079W,NUP170,tagged,visualized,TAP visualized,1560,,nuclear periphery
YBL080C,PET112,tagged,visualized,TAP visualized,1390,,mitochondrion
YBL082C,RHK1,tagged,visualized,TAP visualized,technical problem,,"cytoplasm,vacuole"
YBL084C,CDC27,tagged,visualized,TAP visualized,593,88.0,"cytoplasm,nucleus"
YBL085W,BOI1,tagged,visualized,TAP visualized,1040,,"bud neck,cytoplasm,cell periphery,bud"
YBL086C,,tagged,visualized,TAP visualized,396,,cell periphery
YBL087C,RPL23A,tagged,visualized,not TAP visualized,not visualized,,nucleus
YBL090W,MRP21,tagged,visualized,TAP visualized,1270,,mitochondrion
YBL091C,MAP2,tagged,visualized,TAP visualized,1080,,"cytoplasm,nucleus"
YBL093C,ROX3,tagged,visualized,TAP visualized,6120,,nucleus
YBL095W,,tagged,visualized,TAP visualized,704,,mitochondrion
YBL097W,BRN1,tagged,visualized,TAP visualized,704,,nucleus
YBL098W,BNA4,tagged,visualized,TAP visualized,556,,mitochondrion
YBL099W,ATP1,tagged,visualized,TAP visualized,41500,,mitochondrion
YBL101C,ECM21,tagged,visualized,TAP visualized,799,,cytoplasm
YBL102W,SFT2,tagged,visualized,TAP visualized,279,,early Golgi
YBL103C,RTG3,tagged,visualized,TAP visualized,1050,,"cytoplasm,nucleus"
YBL104C,,tagged,visualized,TAP visualized,184,,cytoplasm
